"","year","date","location","result","team","conf","opp","opp_conf","tpm","tpa","tp_pct","round"
"244",2023,2023-03-16,"N","W","Arkansas","SEC","Illinois","SEC",3,11,0.272727272727273,"1. ROUND OF 64"
"245",2023,2023-03-16,"N","W","Auburn","SEC","Iowa","SEC",8,22,0.363636363636364,"1. ROUND OF 64"
"246",2023,2023-03-16,"N","L","Iowa","B10","Auburn","B10",7,27,0.259259259259259,"1. ROUND OF 64"
"247",2023,2023-03-16,"N","L","Oral Roberts","Sum","Duke","Sum",8,32,0.25,"1. ROUND OF 64"
"248",2023,2023-03-16,"N","W","Duke","ACC","Oral Roberts","ACC",6,16,0.375,"1. ROUND OF 64"
"249",2023,2023-03-16,"N","L","Boise St.","MWC","Northwestern","MWC",6,23,0.260869565217391,"1. ROUND OF 64"
"250",2023,2023-03-16,"N","W","Northwestern","B10","Boise St.","B10",8,21,0.380952380952381,"1. ROUND OF 64"
"251",2023,2023-03-16,"N","L","Colgate","Pat","Texas","Pat",3,15,0.2,"1. ROUND OF 64"
"252",2023,2023-03-16,"N","W","Texas","B12","Colgate","B12",13,23,0.565217391304348,"1. ROUND OF 64"
"253",2023,2023-03-16,"N","L","Northern Kentucky","Horz","Houston","Horz",5,33,0.151515151515152,"1. ROUND OF 64"
"254",2023,2023-03-16,"N","W","Houston","Amer","Northern Kentucky","Amer",4,16,0.25,"1. ROUND OF 64"
"255",2023,2023-03-16,"N","L","Louisiana","SB","Tennessee","SB",6,18,0.333333333333333,"1. ROUND OF 64"
"256",2023,2023-03-16,"N","W","Tennessee","SEC","Louisiana Lafayette","SEC",4,16,0.25,"1. ROUND OF 64"
"257",2023,2023-03-16,"N","W","Penn St.","B10","Texas A&M","B10",13,22,0.590909090909091,"1. ROUND OF 64"
"258",2023,2023-03-16,"N","L","Texas A&M","SEC","Penn St.","SEC",10,34,0.294117647058824,"1. ROUND OF 64"
"259",2023,2023-03-16,"N","L","UNC Asheville","BSth","UCLA","BSth",6,20,0.3,"1. ROUND OF 64"
"260",2023,2023-03-16,"N","W","UCLA","P12","UNC Asheville","P12",5,16,0.3125,"1. ROUND OF 64"
"261",2023,2023-03-15,"N","W","Fairleigh Dickinson","NEC","Texas Southern","NEC",11,27,0.407407407407407,"0. FIRST FOUR"
"262",2023,2023-03-15,"N","L","Texas Southern","SWAC","Fairleigh Dickinson","SWAC",1,17,0.0588235294117647,"0. FIRST FOUR"
"263",2023,2023-03-15,"N","L","Nevada","MWC","Arizona St.","MWC",11,21,0.523809523809524,"0. FIRST FOUR"
"264",2023,2023-03-15,"N","W","Arizona St.","P12","Nevada","P12",11,21,0.523809523809524,"0. FIRST FOUR"
"265",2023,2023-03-14,"N","L","Southeast Missouri St.","OVC","Texas A&M Corpus Chris","OVC",8,26,0.307692307692308,"0. FIRST FOUR"
"266",2023,2023-03-14,"N","W","Texas A&M Corpus Chris","Slnd","Southeast Missouri St.","Slnd",4,18,0.222222222222222,"0. FIRST FOUR"
"267",2023,2023-03-14,"N","W","Pittsburgh","ACC","Mississippi St.","ACC",9,19,0.473684210526316,"0. FIRST FOUR"
"268",2023,2023-03-14,"N","L","Mississippi St.","SEC","Pittsburgh","SEC",6,23,0.260869565217391,"0. FIRST FOUR"
"269",2022,2022-04-04,"N","L","North Carolina","ACC","Kansas","B12",5,23,0.217391304347826,"6. CHAMPIONSHIP"
"270",2022,2022-04-04,"N","W","Kansas","B12","North Carolina","ACC",6,17,0.352941176470588,"6. CHAMPIONSHIP"
"271",2022,2022-04-02,"N","L","Villanova","BE","Kansas","B12",13,31,0.419354838709677,"5. FINAL FOUR"
"272",2022,2022-04-02,"N","W","Kansas","B12","Villanova","BE",13,24,0.541666666666667,"5. FINAL FOUR"
"273",2022,2022-04-02,"N","W","North Carolina","ACC","Duke","ACC",10,26,0.384615384615385,"5. FINAL FOUR"
"274",2022,2022-04-02,"N","L","Duke","ACC","North Carolina","ACC",5,22,0.227272727272727,"5. FINAL FOUR"
"275",2022,2022-03-27,"N","L","Miami FL","ACC","Kansas","B12",3,21,0.142857142857143,"4. ELITE EIGHT"
"276",2022,2022-03-27,"N","W","Kansas","B12","Miami FL","ACC",5,14,0.357142857142857,"4. ELITE EIGHT"
"277",2022,2022-03-27,"N","L","Saint Peter's","MAAC","North Carolina","ACC",4,16,0.25,"4. ELITE EIGHT"
"278",2022,2022-03-27,"N","W","North Carolina","ACC","Saint Peter's","MAAC",6,22,0.272727272727273,"4. ELITE EIGHT"
"279",2022,2022-03-26,"N","L","Houston","Amer","Villanova","BE",1,20,0.05,"4. ELITE EIGHT"
"280",2022,2022-03-26,"N","W","Villanova","BE","Houston","Amer",5,21,0.238095238095238,"4. ELITE EIGHT"
"281",2022,2022-03-26,"N","L","Arkansas","SEC","Duke","ACC",6,20,0.3,"4. ELITE EIGHT"
"282",2022,2022-03-26,"N","W","Duke","ACC","Arkansas","SEC",4,10,0.4,"4. ELITE EIGHT"
"283",2022,2022-03-25,"N","L","Providence","BE","Kansas","B12",4,23,0.173913043478261,"3. SWEET SIXTEEN"
"284",2022,2022-03-25,"N","W","Kansas","B12","Providence","BE",2,15,0.133333333333333,"3. SWEET SIXTEEN"
"285",2022,2022-03-25,"N","W","Saint Peter's","MAAC","Purdue","B10",6,21,0.285714285714286,"3. SWEET SIXTEEN"
"286",2022,2022-03-25,"N","L","Purdue","B10","Saint Peter's","MAAC",5,21,0.238095238095238,"3. SWEET SIXTEEN"
"287",2022,2022-03-25,"N","W","North Carolina","ACC","UCLA","P12",10,31,0.32258064516129,"3. SWEET SIXTEEN"
"288",2022,2022-03-25,"N","L","UCLA","P12","North Carolina","ACC",5,14,0.357142857142857,"3. SWEET SIXTEEN"
"289",2022,2022-03-25,"N","L","Iowa St.","B12","Miami FL","ACC",4,22,0.181818181818182,"3. SWEET SIXTEEN"
"290",2022,2022-03-25,"N","W","Miami FL","ACC","Iowa St.","B12",9,26,0.346153846153846,"3. SWEET SIXTEEN"
"291",2022,2022-03-24,"N","W","Arkansas","SEC","Gonzaga","WCC",7,25,0.28,"3. SWEET SIXTEEN"
"292",2022,2022-03-24,"N","L","Gonzaga","WCC","Arkansas","SEC",5,21,0.238095238095238,"3. SWEET SIXTEEN"
"293",2022,2022-03-24,"N","L","Michigan","B10","Villanova","BE",6,18,0.333333333333333,"3. SWEET SIXTEEN"
"294",2022,2022-03-24,"N","W","Villanova","BE","Michigan","B10",9,30,0.3,"3. SWEET SIXTEEN"
